problem,answer,wrong_answer_1,wrong_answer_2,wrong_answer_3
Which famous racehorse won Australia’s Melbourne Cup in 1930?,Phar Lap,Makybe Diva,Rising Fast,Tulloch
Amr Shabana from Egypt is famous for playing which sport?,Squash,Tennis,Badminton,Table Tennis
How many pounds are in a UK (long) ton?,2240,2000,2500,3000
Cobweb is a fairy in which Shakespeare play?,A Midsummer Night’s Dream,The Tempest,As You Like It,Much Ado About Nothing
Apimania is an obsession with which creatures?,Bees,Butterflies,Ants,Moths
"In 1216, English monarch King John was said to have lost the crown jewels while crossing which body of water?",The Wash,The Mersey,The Thames,The Severn
Which British playwright was killed with a hammer by his lover Keith Haliwell in 1967?,Joe Orton,Harold Pinter,Tom Stoppard,David Mamet
What is the nickname of baseball star Jimmie Foxx?,Double X,Big J,The Beast,Home Run King
The Free Officers Movement was composed of young junior army officers committed to unseating the monarchy of which African country?,Egypt,Sudan,Libya,Syria
"In which year was the storming of the Bastille, which started the French Revolution?",1789,1788,1790,1791
Who was the first poet to be buried at Poet’s Corner in London’s Westminster Abbey?,Geoffrey Chaucer,John Milton,William Wordsworth,Samuel Taylor Coleridge
‘The Night of the Long Knives’ refers to which leader eliminating many of his political enemies?,Adolph Hitler,Joseph Stalin,Mao Zedong,Benito Mussolini
Hans Holbein the Younger was court painter to which English monarch?,Henry VIII,Edward VI,Elizabeth I,James I
Who was the illustrator for most of Roald Dahl’s stories for children?,Quentin Blake,David McKee,Tony Ross,Eric Carle
The 1958 film ‘Gigi’ was based on the novel by which French author?,Colette,Marcel Proust,Victor Hugo,Émile Zola
‘Back to Bedlam’ was the debut album for which British singer?,James Blunt,David Gray,Ed Sheeran,James Morrison
Which US gangster was released from Alcatraz prison in November 1939?,Al Capone,Lucky Luciano,George ,John Dillinger
The fictional characters William Dobbin and Rawdon Crawley appear in which novel?,Vanity Fair,Pride and Prejudice,David Copperfield,The Pickwick Papers
Who does the commentary in the UK tv programme ‘Come Dine With Me’?,Dave Lamb,John Torode,Gregg Wallace,Ruth Langsford
Hidrosis is the medical term for which bodily function?,Sweating,Salivating,Trembling,Coughing
The town of Honiton in Devon is famous for producing what?,Lace,Pottery,Woolen Textiles,Ceramics
Which two colours make up the national flag of Greenland?,White and red,Blue and yellow,Green and black,Red and blue
Which national team beat Hungary 4-2 to win the 1938 FIFA World Cup?,Italy,Germany,Brazil,Argentina
"Yellow-pine, Uinta and Lodgepole are all types of which animal?",Chipmunk,Squirrel,Rabbit,Prairie Dog
Who plays Daphne in the 2002 film ‘Scooby-Doo’?,Sarah Michelle Gellar,Kristen Bell,Reese Witherspoon,Mila Kunis
The Euro is divided into how many cents?,100,50,150,120
In the NATO phonetic alphabet which word represents the letter ‘C’?,Charlie,Canoe,Camel,Carrot
Which former RAF pilot wrote the novel ‘Airport’?,Arthur Hailey,Graham Greene,John le Carré,Frederick Forsyth
A creance is the name of the long fine cord used in which sport?,Falconry,Archery,Lassoing,Hang Gliding
"In the UK tv series ‘Mr Bean’, what model car does Mr Bean drive?",Mini 1000,Volkswagen Beetle,Fiat 500,Ford Fiesta
Rodolfo and Mimi are the main characters in which opera by Giacomo Puccini?,La Boheme,Tosca,Madama Butterfly,Il Tabarro
In which year did it become compulsory to wear seat belts in front seats of cars in the UK?,1983,1981,1985,1987
Which country was invaded by Iraq in 1990?,Kuwait,Saudi Arabia,Iran,Qatar
The Oroville Dam is in which US state?,California,Arizona,Nevada,Oregon
What was the name of the Prime Minister of Egypt who was assassinated in 1910?,Boutros Ghali,Ramses II,Mohamed Naguib,Anwar Sadat
The OK Corral is in which US town?,Tombstone,Deadwood,Dodge City,Virginia City
"In Greek mythology, Amphitrite, queen of the sea, was the wife of which god?",Poseidon,Hades,Apollo,Zeus
On which part of the body would a mukluk be worn?,Foot,Hand,Head,Neck
Sandygate Road football and cricket stadium is in which English city?,Sheffield,Manchester,Birmingham,Leeds
How many hundredweight are in a UK ton?,20,18,22,25
"Smoky, Leaf-nosed and Vesper are all species of which creature?",Bat,Owl,Squirrel,Raccoon
‘Make Them Wait’ is rhyming slang for which Bingo number?,58,48,68,38
How many stars are on the national flag of Liberia?,One,Two,Three,Five
What is the US state capital of Idaho?,Boise,Idaho Falls,Pocatello,Twin Falls
"In the children’s tv cartoon series, who is Inspector Gadget’s arch enemy?",Dr Claw,Professor Scarab,Chief Quimby,Captain Gadget
Astrakhan is the curly hair of which young animal?,Lamb,Calf,Kid,Foal
Nguyen Tan Dung became Prime Minister of which country in June 2006?,Vietnam,Thailand,Malaysia,Indonesia
Boll weevil cause damage to which crop?,Cotton,Corn,Wheat,Soybean
What type of creature is a Dog Face?,Butterfly,Moth,Beetle,Dragonfly
Which city hosted the 1992 Summer Olympic Games?,Barcelona,Madrid,Seville,Athens
Steve Martin and which other actor hosted the 2010 Academy Awards?,Alec Baldwin,Jack Black,Jimmy Fallon,Owen Wilson
"Which British monarch founded the Yeomen of the Guard, originally as a royal bodyguard?",Henry VII,Henry VIII,Elizabeth I,James I
Which member of the British royal family married on the 29th April 2011?,Prince William,Prince Harry,Prince Edward,Prince Andrew
Which Italian fashion designer launched the first virtual online museum in December 2011?,Valentino,Dolce & Gabbana,Prada,Gucci
"In Greek mythology, who was the first wife of Aegeus?",Meta,Medea,Antigone,Phaedra
Which breed of dog is Marley in the 2008 film ‘Marley and Me’?,Labrador Retriever,Golden Retriever,Beagle,Boxer
‘Giovedi’ is the Italian word for which day of the week?,Thursday,Wednesday,Friday,Saturday
How many stars are on the national flag of New Zealand?,Four,Five,Six,Three
Scatology is the scientific study of what?,Excrement,Fungi,Meteorites,Ocean currents
La Paz is the administrative capital of which South American country?,Bolivia,Peru,Argentina,Chile
"In the game of Bingo, ‘Get up and run’ represents which number?",31,21,41,11
"In February 1938, Roberto M. Ortiz became President of which South American country?",Argentina,Chile,Uruguay,Paraguay
Which poet wrote ‘The Lake Isle of Innisfree’?,William Butler Yeats,Robert Frost,T.S. Eliot,W.H. Auden
In September 2006 the government of Prime Minister Thaksin Shinawatra was overthrown in which Asian country?,Thailand,Malaysia,Indonesia,Philippines
Who wrote the 1930’s novel ‘Tender is the Night’?,F. Scott Fitzgerald,Ernest Hemingway,William Faulkner,John Steinbeck
Maria Fitzherbert was ‘married’ to which British monarch?,George IV,William IV,Henry VIII,Edward VII
Amarelo is Portuguese for which colour?,Yellow,Blue,Green,Red
"On a standard dartboard, which number lies opposite number 4?",16,12,18,20
Mount Chimborazo is in which South American country?,Ecuador,Peru,Colombia,Bolivia
What is the basic monetary unit of Israel?,Shekel,Ruble,Dinar,Peso
In which European country is Lake Ree?,Ireland,Scotland,Wales,Norway
Who wrote the poem ‘The Lady of the Lake’?,Sir Walter Scott,Robert Burns,Lord Byron,"Alfred, Lord Tennyson"
"Henry Blake, Charles Winchester and Father Mulcahy are all characters in which US tv series?",M*A*S*H,Cheers,Frasier,The West Wing
‘Obey your thirst’ is the advertising slogan for which soft drink?,Sprite,7UP,Fanta,Mountain Dew
Selenology is the scientific study of which celestial body?,The moon,Mars,Venus,Jupiter
‘A crutch and a duck’ is the term for which bingo number?,72,66,44,82
"Spud, Shot and Hand are all types of what?",Gun,Knife,Bow,Axe
"In the game ‘Metal Gear Solid’,who is the twin brother of Solid Snake?",Liquid Snake,Shadow Snake,Toxic Cobra,Sonic Viper
What did fictional detective Sherlock Holmes keep in the toe of his Persian slipper?,Tobacco,A magnifying glass,A map,A pocket watch
Which creatures are used as croquet balls in the novel ‘Alice’s Adventures in Wonderland’?,Hedgehogs,Rabbits,Mice,Squirrels
Which Spanish artist painted the series known as ‘Fantasy and Invention’ in the 18th century?,Francisco Goya,Pablo Picasso,Salvador Dalí,Diego Velázquez
‘Mucke’ is the Serbo-Croatian name for which UK tv series?,Only Fools and Horses,EastEnders,Coronation Street,The Office
"Comedian, actor and director Melvin Kaminsky is better known by what name?",Mel Brooks,Gene Wilder,Rob Reiner,Carl Reiner
The Belgian beer ‘Kriek’ is flavoured with which fruit?,Cherry,Raspberry,Peach,Blackcurrant
The Forest of Arden is in which English county?,Warwickshire,Somerset,Gloucestershire,Oxfordshire
Louis Reard created which two-piece item of clothing in 1946?,Bikini,Monokini,Swimsuit,Tankini
What colour are the flowers of a hawkbit plant?,Yellow,Purple,White,Red
In which British city is the Jewry Wall Museum?,Leicester,Birmingham,Liverpool,Manchester
What is the main ingredient of borscht soup?,Beetroot,Cabbage,Potato,Carrot
Thanatology is the scientific study of what?,Death,Life,Rebirth,Mortality
Which author wrote ‘I came form Des Moines. Somebody had to.’ in their book ‘The Lost Continent’?,Bill Bryson,David Sedaris,Mark Twain,Kurt Vonnegut
Which actor succeeded Marlon Brando as head of the Corleone family in the Godfather films?,Al Pacino,Robert De Niro,James Caan,Jack Nicholson
"Brown, American Rainbow and Cutthroat are all types of which fish?",Trout,Salmon,Bass,Pike
Who designed St Paul’s Cathedral in London?,Christopher Wren,Inigo Jones,Sir Edwin Lutyens,Nicholas Hawksmoor
What colour is the liqueur ‘Parfait d’Amour’?,Purple,Blue,Green,Red
What is the name of the clarified butter used in Indian cookery?,Ghee,Kheer,Paneer,Lassi
"In the 2005 Julian Barnes novel ‘Arthur and George’, who is Arthur?",Arthur Conan Doyle,Agatha Christie,H.G. Wells,C.S. Lewis
"In humans, epicondylitis affects which part of the body?",Elbow,Knee,Wrist,Shoulder
The UEFA (Union of European Football Associations) was founded in which European country in 1954?,Switzerland,Germany,France,Italy
From which 1968 film did English band Duran Duran take their name?,Barbarella,Village of the Damned,2001: A Space Odyssey,The Graduate
The ‘La Scala Opera House’ is in which European city?,Milan,Venice,Florence,Rome
Who is the lead singer of the English band ‘The Specials’?,Terry Hall,Jerry Dammers,Lynval Golding,Roddy Radiation
"Elvis Presley’s manager, Andreas Cornelis van Kujik, was better known by what name?",Colonel Tom Parker,Colonel Sanders,Major Thompson,Captain Morgan
The Transandine Railway runs between which two South American countries?,Chile and Argentina,Brazil and Peru,Colombia and Uruguay,Paraguay and Bolivia
"Sinology is the study of the language, history and culture of which country?",China,Japan,Korea,Vietnam
"On the human body, a keloid is a type of what?",Scar,Mole,Tumor,Skin Tag
"In the British military, a bombadier is equivalent to which other rank?",Corporal,Sergeant,Private,Lieutenant
What type of animal is Baloo in the novel ‘The Jungle Book’ by Rudyard Kipling?,Bear,Tiger,Elephant,Wolf
Tirana is the capital of which European country?,Albania,Kosovo,North Macedonia,Montenegro
"In our solar system, which is the sixth planet from the sun?",Saturn,Jupiter,Mars,Uranus
Composer Giacomo Puccini died leaving which opera unfinished?,Turandot,La Bohème,Madama Butterfly,Tosca
"King Louie, Akela and Ziggy are all characters in which Disney film?",The Jungle Book,The Lion King,Tarzan,The Aristocats
‘Impossible is nothing’ is the motto of which sportswear company?,Adidas,Nike,Puma,Reebok
Who wrote the play ‘The Iceman Cometh’?,Eugene O’Neill,Tennessee Williams,Arthur Miller,David Mamet
"Which children’s playground game is sometimes called ‘Fivestones’, ‘Knucklebones’ or ‘Snobs’?",Jacks,Marbles,Hopscotch,Tiddlywinks
Mr and Mrs Potato Head appear in which film franchise?,Toy Story,Shrek,Despicable Me,"Monsters, Inc."
How many square stickers are on each face of a classic Rubik’s Cube?,Nine,Six,Twelve,Fourteen
Who composed the ballet ‘Swan Lake’?,Pyotr Tchaikovsky,Igor Stravinsky,Sergey Prokofiev,Leonid Desyatnikov
"In 1818, British obstetrician James Blundell performed the first successful human what?",Blood transfusion,Organ transplant,Vaccine trial,Surgical procedure
"In cooking, 190 degrees Celsius is the equivalent to which Gas Mark?",5,4,6,7
What do the interior angles of a hexagon add up to in degrees?,720,600,660,780
The roe of lumpfish is used as a substitute for which delicacy?,Caviar,Truffle Oil,Foie gras,Saffron
"In Vermont, USA, there is an old law stating that it is illegal for women to wear what without their husbands written consent?",False teeth,High heels,Facial makeup,Pants
"In medicine, algology is the study of what?",Pain,Cancer,Heart disease,Infectious diseases
How many imperial gallons are in a firkin?,Nine,Eight,Ten,Seven
The meibomian gland is found in which part of the human body?,Eyelid,Nose,Ear,Mouth
The Manuel M.Torres Dam is the largest hydro plant in which country?,Mexico,Brazil,Argentina,Chile
Which British swimmer won Olympic Gold Medals in 2008 in the 400 and 800 m freestyle?,Rebecca Adlington,Katherine Grainger,Sharron Davies,Jessica Ennis
"In the NATO phonetic alphabet, which word represents the letter I?",India,Ireland,Iguana,Islander
"Which US author wrote ‘The Naked and the Dead’, based on his military service in World War II?",Norman Mailer,Kurt Vonnegut,Joseph Heller,Ray Bradbury
Which Brooklyn-born author had parents named Malachy and Angela?,Frank McCourt,Colm Toibin,Pete Hamill,Tana French
What is the title of the 1944 film starring Barbara Stanwyck as the wife who seduces an insurance salesman into killing her husband?,Double Indemnity,The Postman Always Rings Twice,Leave Her to Heaven,Mildred Pierce
"What is the nickname of Thierry Guetta, the French-born street-artist?",Mr Brainwash,Banksy,Invader,Shepard Fairey
Wolf Mankowitz wrote the 1953 novel ‘A Kid For Two….’what’?,Farthings,Pounds,Shillings,Dollars
What is the name of a triangle which has sides unequal in length?,Scalene,Equilateral,Isosceles,Acute
‘Quicksilver’ is another name for which metallic element?,Mercury,Lead,Tin,Copper
"What is the name of the Japanese dish of bite-sized pieces of raw fish served with dipping sauces, vegetables and wasabi?",Sashimi,Nigiri,Temaki,Maki
Who is recognised as Britain’s first Prime Minister?,Robert Walpole,William Pitt the Elder,Lord North,Henry Addington
"In the human body, which bone connects the humerus with the calvicle?",Scapula (shoulder blade),Clavicle,Sternum,Scaphoid
The Cuatro Torres Business Area is in which European city?,Madrid,Barcelona,Valencia,Sevilla
The first issue of which British children’s comic was published in April 1950?,Eagle,Beezer,Bunty,Dandy
"The 1951 ‘Treaty of Peace With Japan’ which served to officially end World War II, is commonly known as what?",San Francisco Peace Treaty,Tokyo Peace Accord,Yalta Conference Agreement,Potsdam Declaration
The Tumut Hydroelectric Power Station is in which Australian state?,New South Wales,Victoria,Queensland,Tasmania
Who always holds the title of the Supreme Governor of the Church of England?,The British monarch,The Archbishop of Canterbury,The Prime Minister of the United Kingdom,The Lord Chancellor
How many players are on the field in a baseball team?,Nine,Seven,Ten,Eight
"In the poem ‘Monday’s Child’, what is Wednesday’s child full of?",Woe,Joy,Sorrow,Glee
"In London in 1788, the ‘Daily Universal Register’ was relaunched as which newspaper?",The Times,The Observer,The Daily Telegraph,The Sun
Which clothing chain was founded by brothers Clemens and August Brenninkmeijer in 1841?,C&A,H&M,Zara,Gap
Falange was the name given to several political movements and parties dating from the 1930’s in which European country?,Spain,Portugal,Italy,Germany
"In the novel ‘Jane Eyre’ by Charlotte Bronte, what is the name of Mr Rochester’s first wife?",Bertha Mason,Eliza Reed,Cecilia Fairfax,Margaret Larch
"Which fictional character is the subject of George Frampton’s bronze statue in Kensington Gardens, London?",Peter Pan,Winnie the Pooh,Paddington Bear,Alice from Alice's Adventures in Wonderland
Who wrote the novel ‘The Prime of Miss Jean Brodie’?,Muriel Spark,Iris Murdoch,Doris Lessing,Barbara Pym
Sindh is a province of which Asian country?,Pakistan,India,Bangladesh,Afghanistan
Madame de Pompadour and Madame du Barry were mistresses of which French King?,Louis XV,Louis XIV,Louis XVI,François I
Odontology is the scientific study of what?,Teeth,Bones,Hair,Nails
The wine ‘Bull’s Blood’ of Eger is produced in which country?,Hungary,Slovakia,Romania,Austria
The 1932 film ‘The Mask of Fu Manchu’ revolves around Fu Manchu’s quest for the sword and mask of which historical figure?,Genghis Khan,Cyrus the Great,Kublai Khan,Attila the Hun
The mask worn in the 1996 film ‘Scream’ is based on a painting by which artist?,Edvard Munch,Pablo Picasso,Vincent van Gogh,Salvador Dalí
Which US athlete won a gold medal for the high jump in the 1968 Summer Olympics?,Dick Fosbury,Tom Farrell,John Thomas,Charlie Dumas
In which London street does fictional character Sweeney Todd have his barber shop?,Fleet Street,Baker Street,Oxford Street,Charing Cross Road
The Nullarbor Plain is in which country?,Australia,New Zealand,South Africa,Argentina
What is the official language of Nicaragua?,Spanish,English,French,Portuguese
Who wrote the plays ‘The Cocktail Party’ and ‘The Family Reunion’?,T.S.Eliot,Harold Pinter,David Mamet,Noel Coward
"Used in cooking, agar-agar is a gelatin made from what?",Seaweed,Beef,Cornstarch,Pork fat
The fictional character ‘Disco Stu’ appears in which US cartoon tv Series?,The Simpsons,Family Guy,South Park,Futurama
"Marie Antoinette, Queen of France and Navarre, was born in which country?",Austria,France,Prussia,Italy
The song ‘Seventy Six Trombones’ is from which musical show?,The Music Man,West Side Story,Chicago,Oklahoma!
Which US President was given the nickname the ‘Great Engineer’?,Herbert Hoover,Franklin D. Roosevelt,Harry S. Truman,Dwight D. Eisenhower
"In the human body, what is stored in adipose tissue?",Fat,Water,Glucose,Protein
A craniotomy is the surgical removal of a portion of which part of the human body?,Skull,Rib cage,Pelvis,Vertebrae
Which country will host the 2014 FIFA World Cup?,Brazil,Argentina,Germany,Spain
Which country has the internet domain .de?,Germany,Denmark,Dominican Republic,Djibouti
A sequicentenary is an anniversary of how many years?,150,100,200,125
What is the International Vehicle Registration for Cambodia?,K,C,KH,CM
Opera singer Leyla Gencer was born in which European country?,Turkey,Italy,Greece,Spain
In which South American country does Angostura Bitters originally come from?,Venezuela,Colombia,Argentina,Peru
The Hel Peninsula is part of which European country?,Poland,Czech Republic,Germany,Lithuania
Which US singer released a 2010 album entitled ‘The Lady Killer’?,Cee Lo Green,Usher,Bruno Mars,Justin Timberlake
How many months is the gestation period for an elephant?,22,18,24,30
"Raclette, Tilsit and Sbrinz are all types of which foodstuff?",Cheese,Bread,Butter,Yogurt
Adam Richman takes on food challenges in which US television series?,Man v. Food,Top Chef,Hell's Kitchen,MasterChef
Creme Anglaise is the French version of which English dessert item?,Custard,Pudding,Buttercream,Chocolate Mousse
Who was known as the ‘Waltz King’ of Vienna?,Johann Strauss II,Franz Lehár,Joseph Lanner,Johann Strauss I
Erotology is the study of what?,Sex,Art,Psychology,Anthropology
‘The King of Barataria’ is the subtitle of which Gilbert and Sullivan operetta?,The Gondoliers,The Pirates of Penzance,The Mikado,H.M.S. Pinafore
"Sufferers, Locksmen and Dreads are followers of which religion?",Rastafarian,Sikhism,Buddhism,Zoroastrianism
The 1965 film ‘The Heroes of Telemark’ is set in which European country?,Norway,Sweden,Finland,Denmark
What colour are the two stars on the national flag of Syria?,Green,Red,Blue,Yellow
"In humans, Duane Syndrome affects which part of the body?",Eye,Ear,Knee,Wrist
Taphephobia is the abnormal fear of being what?,Buried alive,Drowning in water,Eating too much food,Flying in an airplane
What relation was Louis XV of France to Louis XIV of France?,Great-grandson,Grandson,Nephew,First cousin
What type of leaves does a koala feed on?,Eucalyptus,Cypress,Acacia,Maple
What is the name of the village druid in the comic strip ‘Asterix’?,Getafix,Miraculix,Mythologix,Brewfix
In which English county was former British Prime minister Margaret Thatcher born?,Lincolnshire,Kent,Surrey,Devon
"In the British monarchy, who succeeded Queen Anne to the throne?",King George I,King James II,Queen Victoria,King Charles II
Who directed the 1941 film ‘The Maltese Falcon’?,John Huston,Alfred Hitchcock,Orson Welles,Frank Capra
The 1981 film ‘Chariots of Fire’ was based on the stories of which two British athletes?,Harold Abrahams and Eric Liddell,Chris Brasher and Sebastian Coe,Jim Peters and Tom McKean,Steve Ovett and Derek Redmond
